"Signatur","Titel","Zeit","Ort"
"Sozarch_F_5033-Da-008","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Plakat","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-009","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Zündholzschachteln und Zündholzbriefchen","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-010","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Zündholzschachteln und Zündholzbriefchen","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-011","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Fähnchen","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-012","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Kind mit Fähnchen","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-013","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Brief mit Sonderstempel","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-014","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Filiale mit an der Decke montierter Werbung","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-015","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: Filiale, Slogan ""LVZ bietet mehr""","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-016","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: LVZ Werbung im Tagblatt der Stadt Zürich","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Da-017","100 Jahre Lebensmittelverein Zürich LVZ 1878-1978: LVZ Werbung im Tagblatt der Stadt Zürich","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
