"Signatur","Titel","Zeit","Ort"
"Sozarch_F_5033-Gb-001","""Kohlen - Holz - Heizoel - Dieseloel - Benzin; Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-002","""LVZ bringt Vorteile!""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-003","Trompete hängend an einem Ballon, Aufschrift: ""Hans Gmür und Fred Böhler präsentieren - Musik liegt in der Luft - Vorverkauf und Spielplan im Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-004","Frau beim Befeuern eines Ofens: Aufschrift auf Pack: ""Kohlen-Päckchen ofenfertig""; Titel ""Lebensmittelverein Zürich Abt. Brenn- und Treibstoffe""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-005","Brennofen mit offener Tür, Überschrift: ""Holz Kohlen Heizoel""; unten: ""LVZ Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-006","Jetzt Sommerpreise für Koks Briketts Heizoel","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-007","LVZ bringt Vorteile!","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-008","Comicfigur beim Balancieren von Lebensmitteln, Titel: ""Alles vom Läbes!"", unten: Lebensmittelverein Zürich","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-010","Comicfigur beim Stappeln von Lebensmitteln: ""Alles vom Läbes! Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-011","Comicfigu mit riesiger Umhängetasche: ""alles vom Läbes - LVZ""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-012","Eichhörnchen mit Schal und Geschenk: ""Geschenke für alle - St. Annahof""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-013","Fleischwaren im Hintergrund: ""Alles für Alle - LVZ""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-014","Kundin und Kunde beim Einkaufen: ""Lebensmittelverein Zürich - la vostra cooperativa!""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-015","Comic-Figuren, Lieferant übergibt Frau Kanister: ""Heizöl-Kannen-Service - Lebensmittelverein Zürich Abt. Brenn- & Treibstoff""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-016","Aufgeschnittenes Brot: ""Bio Pan hochwertig - schmackhaft - bleibt lange frisch - in den LVZ-Filialen erhältlich"" (Brotwerbung)","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-017","Zwei Geschenkkörbe mit Lebensmitteln und Blumen: ""Für Geschenk-Körbe - St. Annahof Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-018","""Jazz Schule Zürich - Leitung: Dr. Francis Burger""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-019","Drei Glühbirnen: ""Bonalux - gutes, billiges Licht - in allen LVZ-Filialen""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-021","Im Hintergrund  alkoholische Getränke: ""Alles für Alle""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-022","""100 Jahre LVZ - Lebensmittelverein Zürich 1878-1978""","Neuzeit;20. Jh.;1951-2000;1971-1980;1978","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-023","Schwarzer beim Ackerbau: ""Dahomey - Ausstellung St. Annahof 31. Jan. bis 9. Febr. 1964 - Eintritt frei""","Neuzeit;20. Jh.;1951-2000;1961-1970;1964","Europa;Schweiz;Zürich, Kanton /"
"Sozarch_F_5033-Gb-024","Comic-Figur im Schein einer Glühbirne: ""Bonalux bringt gutes, billiges Licht - In allen LVZ Fillialen""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-025","Drei Glühbirnen: ""Bonalux - gutes, billiges Licht - in allen LVZ-Filialen""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-026","Mädchen beim Schmieren von Zahnpasta auf die Zahnbürste: ""Dentalux - die neue Zahnpasta!"" mit Preisangabe","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-027","Comicfigur mit riesiger Umhängetasche: ""alles vom Läbes - LVZ""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-028","Drei Comicfiguren mit riesigen Umhängetaschen: ""LVZ bringt Vorteile - Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-029","Farbige Rasierklingen: ""10 Rasierklingen! nur -.50 mit 8% = netto = -.46; Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-030","Alte Aufnahme (undatiert) der Lebensmittelhalle im St. Annahof LVZ","Neuzeit;20. Jh.;1901-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-031","Gemüse: ""... täglich frisch! Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-032","Gebäude St. Annahof: ""Alle Schuhe für den Frühling aus dem Lebensmittelverein St. Annahof; 8% Rückvergütung""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-033","Zeichnung einer Frau in einem Kleid: ""Jetzt eröffnet! Damenkonfektion; Bahnhofbrücke 1. Stock; St. Annahof""","Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-034","Hängendes geschossenes Wild, Mann mit Fleisch im Hintergrund: ""42000 Mitglieder-Familien haben ihre eigene Fischhalle, im Hofe unseres Kaufhauses St. Annahof""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-035","""LVZ St. Annahof - Besuchen Sie uns an der Züspa""","Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-036","Gestickter (?) Stoff: ""Geschenke für Alle - St. Annahof""","Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-037","Flasche mit Bitterlimonade, Aufschrift ""Very mell"", daneben Glas, Titel: ""in Zürich nur im LVZ""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-038","Brotlaib: ""50 Jahre LVZ-Bäckerei""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-009","Comicfigur mit einer riesigen Umhängetasche: ""Der LVZ jetzt auch in Adliswil""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton;A"
"Sozarch_F_5033-Gb-020","Schiff, im Hintergrund Seilbahn (könnte Werbung im Zusammenhang mit der Ausstellung SAFFA 1958 in Zürich sein)","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fa-000","Zwei Männer bündeln Brennholz","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fa-000","Mann beim Bündeln von Brennholz","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fa-000","Zwei Männer zerkleinern an Maschinen Holz","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fa-000","Mann beim Bündeln von Brennholz (Bürdeli, Anfeuerholz)","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fa-000","Mann diskutiert mit Frau (Brennmateriallieferant und Kundin?)","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-000","Abladen von Holz von einem Eisenbahnwaggen beim Holzlager des Lebensmittelvereins Zürich an der Turbinenstrasse","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Fa-000","Abladen von Holz von einem Eisenbahnwaggen beim Holzlager des Lebensmittelvereins Zürich an der Turbinenstrasse","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Fa-000","Männer verladen Kohle in Säcke","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-000","Mann arbeitend an Maschine zum Verpacken von Säcken","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz"
"Sozarch_F_5033-Fa-001","Mann arbeitend Maschine zum Verpacken von Säcken","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz"
"Sozarch_F_5033-Fa-001","Mann arbeitend Maschine zum Verpacken von Säcken","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz"
"Sozarch_F_5033-Fa-001","Gruppenbild mit Männern und einem Hund vor einem Haufen Brennholz","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-001","Lieferwagen mit Fässern - Ulrich Matzinger, Räterschen","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-001","Verkaufswagen: Blick ins Wageninnere","Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz"
"Sozarch_F_5033-Fa-001","Verkaufswagen des Lebensmittelvereins Zürich","Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fa-001","Frauen in einem Produktionsbetrieb mit Wurstwaren an der Decke","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fa-001","Elisabeth Pfister, Gründerin des Lebensmittelvereins Zürich",,
"Sozarch_F_5033-Fa-001","Frauen packen Kisten voll","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-001","Männer beim Verpacken von Käse in der Käse-Spedition","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-002","Arbeiter beim Säubern eines Lieferwagen des Lebensmittelvereins Zürich mit einem Schlauch","Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970 /Neuzeit;20. Jh.;1951-2000;1971-1980","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fa-002","Lieferwagen des Lebensmittelvereins Zürich 1916","Neuzeit;20. Jh.;1901-1950;1911-1920;1916","Europa;Schweiz"
"Sozarch_F_5033-Fa-002","Mehrere Lieferwagen des Lebensmittelvereins Zürich vor der Garage an der Turbinenstrasse, 20. Februar 1953","Neuzeit;20. Jh.;1951-2000;1951-1960;1953","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fa-002","Mann bei älterem Lieferwagen des Lebensmittelvereins Zürich","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fa-002","Lieferwagen des Lebensmittelvereins Zürich","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fa-002","Mann in Lagerraum mit Kisten","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-002","Frau kontrolliert die Sauberkeit von Glasflaschen - vor einem Leuchtpult","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fa-002","Abgefüllte Flaschen werden in Harrasse gefüllt","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fa-002","Frauen an einer Abpackmaschine für Zucker oder Mehl","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fa-002","LVZ - Zum Sunntig z'Morge Ankez[üpfe] - Zum Frühstück am Sonntagmorgen: Butterzopf - Eine Frau beschriftet in einem Lebensmittelladen eine Werbetafel","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fa-003","Frauen rüsten Gemüse in einer Lagerhalle","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-003","Gefüllter Früchtekorb, Stil 1970er Jahre","Neuzeit;20. Jh.;1951-2000;1971-1980 /Neuzeit;20. Jh.;1951-2000;1981-1990","Europa;Schweiz"
"Sozarch_F_5033-Fa-003","Lebensmittelverein Zürich - Marke, welche zum Bezug von Lebensmitteln berechtigte (vermutlich um 1900)","Neuzeit;19. Jh.;1851-1900;1891-1900 /Neuzeit;20. Jh.;1901-1950;1901-1910","Europa;Schweiz"
"Sozarch_F_5033-Fa-003","VSK 7291 - Mann bei der Kontrolle eines Weinfasses","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-003","VSK 7291 - Zwei Männer in einem Weinlager","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-003","VSK 7291 - Zwei Männer in einem Weinlager","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-003","VSK 7291 - Zwei Männer füllen ein Regal mit Weinflaschen","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-003","VSK 7291 - Ein Mann beim Transport von Holzharrassen in einem Weinlager","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-003","VSK 7291 - Zwei Männer in einem Weinlager","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-003","VSK 7291 - Zwei Männer in einem Weinlager beim Auffüllen eines Regals","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-004","Mann in einem Lager, mit einem - vermutlich mit Äpfeln gefüllten - Holzharrass","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-004","Jean Jean Genève - Mann in einem Lager mit verschnüren Kartons","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz"
"Sozarch_F_5033-Fa-004","Zwei Männer schneiden Brotlaibe ein - in einer Bäckerei","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fb-000","Heizöl- Brennmittel-Lieferdienst: Lagerraum","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960","Europa;Schweiz"
"Sozarch_F_5033-Fb-000","Heizöl- Brennmittel-Lieferdienst: Heizöl-Lieferwagen","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Fb-000","Kohle/Holz: Mann neben einer Grube","Neuzeit;20. Jh.","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-000","Kohle/Holz: Männer laden Holkohle und Holz von einem Lieferwagen ab","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-000","Kohle/Holz: Männer schaufeln Holzkohle in Säcke","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-000","Kohle/Holz: Mann behandelt ein Bündel Holz mit dem Holzhammer","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-000","Tanklager / Hafen: Männer verladen Platten auf einen Eisenbahnwaggon","Neuzeit;20. Jh.","Europa;Schweiz"
"Sozarch_F_5033-Fb-000","Kohle/Holz: Mann an einer Werkbank","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-000","Kohle/Holz: Männer in einem Lagerraum","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-001","Kohle/Holz: Männer in einem Lagerraum","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-001","Männer transportieren Kohle oder Holz in einem Lagerraum","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-001","Kohle/Holz: Männer an einer Werkbank","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-001","Kohle/Holz: Männer setzen ein Holzgerüst zusammen","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-001","Kohle/Holz: Männer setzen ein Holzgerüst zusammen","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-001","Kohle/Holz: Männer setzen ein Holzgerüst zusammen","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-001","Verkauf von Kohle/Holz ab Lieferwagen","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Fb-001","Holz- und Kohlelager an der Turbinenstrasse in Zürich: Aussensicht einer Lagerhalle aus erhöhter Perspektive","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton;Z"
"Sozarch_F_5033-Fb-001","Holz- und Kohlelager an der Turbinenstrasse in Zürich: Bahnschienen führen in eine Lagerhalle","Neuzeit;20. Jh.;1901-1950;1921-1930 /Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton;Z"
